number_to_find	slope	count
1	0.0036363636363636364	3
2	0.336969696969697	278
3	0.14424242424242426	119
4	0.0036363636363636364	3
6	0.0024242424242424242	2
8	0.027878787878787878	23
11	0.0024242424242424242	2
13	0.0048484848484848485	4
16	0.0024242424242424242	2
18	0.0036363636363636364	3
26	0.0048484848484848485	4
28	0.0024242424242424242	2
36	0.04	33
38	0.0	0
47	0.12121212121212122	100
48	0.0012121212121212121	1
53	0.009696969696969697	8
57	0.0036363636363636364	3
62	0.0012121212121212121	1
69	0.09212121212121212	76
72	0.0	0
77	0.0	0
82	0.0	0
87	0.0012121212121212121	1
97	0.01090909090909091	9
99	0.0012121212121212121	1
102	0.08363636363636363	69
106	0.0024242424242424242	2
114	0.0	0
126	0.0	0
131	0.0	0
138	0.0	0
145	0.0012121212121212121	1
148	0.0	0
155	0.0	0
175	0.0012121212121212121	1
177	0.0012121212121212121	1
180	0.006060606060606061	5
182	0.0	0
189	0.0036363636363636364	3
197	0.0	0
206	0.012121212121212121	10
209	0.0	0
219	0.0024242424242424242	2
221	0.0	0
236	0.0012121212121212121	1
238	0.0012121212121212121	1
241	0.0012121212121212121	1
243	0.0	0
253	0.0	0
258	0.0012121212121212121	1
260	0.0012121212121212121	1
273	0.03515151515151515	29
282	0.0012121212121212121	1
309	0.0012121212121212121	1
316	0.007272727272727273	6
319	0.0	0
324	0.0	0
339	0.05818181818181818	48
341	0.0	0
356	0.007272727272727273	6
358	0.0	0
363	0.0	0
370	0.0	0
382	0.006060606060606061	5
390	0.0	0
400	0.009696969696969697	8
402	0.0	0
409	0.0024242424242424242	2
412	0.0036363636363636364	3
414	0.0012121212121212121	1
429	0.0012121212121212121	1
431	0.0012121212121212121	1
434	0.0	0
441	0.0	0
451	0.0	0
456	0.0	0
483	0.0024242424242424242	2
485	0.0	0
497	0.0024242424242424242	2
502	0.0	0
522	0.0036363636363636364	3
524	0.0	0
544	0.0024242424242424242	2
546	0.0	0
566	0.006060606060606061	5
568	0.0	0
585	0.0	0
602	0.0012121212121212121	1
605	0.0012121212121212121	1
607	0.0	0
612	0.0	0
624	0.0024242424242424242	2
627	0.0012121212121212121	1
646	0.0	0
668	0.0	0
673	0.0012121212121212121	1
685	0.0048484848484848485	4
688	0.0012121212121212121	1
690	0.0	0
695	0.0	0
720	0.0012121212121212121	1
