number_to_find	slope	count
1	4.049566696363489e-05	3
2	0.3685915607030048	27306
3	0.13665937744661322	10124
4	4.049566696363489e-05	3
6	2.699711130908993e-05	2
8	0.017183661348235738	1273
11	2.699711130908993e-05	2
13	0.0004724494479090737	35
16	2.699711130908993e-05	2
18	4.049566696363489e-05	3
26	5.399422261817986e-05	4
28	2.699711130908993e-05	2
36	0.04771739423881645	3535
38	0.0	0
47	0.11672201074485031	8647
48	1.3498555654544964e-05	1
53	0.002213763127345374	164
57	6.749277827272481e-05	5
62	1.3498555654544964e-05	1
69	0.10072622229421452	7462
72	0.0	0
77	0.0	0
82	0.0	0
87	1.3498555654544964e-05	1
97	0.004859480035636187	360
99	1.3498555654544964e-05	1
102	0.08475743095488783	6279
106	2.699711130908993e-05	2
114	0.0	0
126	0.0	0
131	0.0	0
138	0.0	0
145	1.3498555654544964e-05	1
148	0.0	0
155	0.0	0
175	1.3498555654544964e-05	1
177	1.3498555654544964e-05	1
180	6.749277827272481e-05	5
182	0.0	0
189	4.049566696363489e-05	3
197	0.0	0
206	0.002524229907399908	187
209	0.0	0
219	2.699711130908993e-05	2
221	0.0	0
236	1.3498555654544964e-05	1
238	1.3498555654544964e-05	1
241	1.3498555654544964e-05	1
243	0.0	0
253	0.0	0
258	1.3498555654544964e-05	1
260	1.3498555654544964e-05	1
273	0.029129883102508032	2158
282	1.3498555654544964e-05	1
309	1.3498555654544964e-05	1
316	0.00016198266785453957	12
319	0.0	0
324	0.0	0
339	0.05974460732701601	4426
341	0.0	0
356	0.002267757349963554	168
358	0.0	0
363	0.0	0
370	0.0	0
382	6.749277827272481e-05	5
390	0.0	0
400	0.00552090926270889	409
402	0.0	0
409	2.699711130908993e-05	2
412	4.049566696363489e-05	3
414	1.3498555654544964e-05	1
429	1.3498555654544964e-05	1
431	1.3498555654544964e-05	1
434	0.0	0
441	0.0	0
451	0.0	0
456	0.0	0
483	4.049566696363489e-05	3
485	0.0	0
497	2.699711130908993e-05	2
502	0.0	0
522	4.049566696363489e-05	3
524	0.0	0
544	2.699711130908993e-05	2
546	0.0	0
566	6.749277827272481e-05	5
568	0.0	0
585	0.0	0
602	1.3498555654544964e-05	1
605	1.3498555654544964e-05	1
607	0.0	0
612	0.0	0
624	2.699711130908993e-05	2
627	1.3498555654544964e-05	1
646	0.0	0
668	0.0	0
673	1.3498555654544964e-05	1
685	5.399422261817986e-05	4
688	1.3498555654544964e-05	1
690	0.0	0
695	0.0	0
720	2.699711130908993e-05	2
722	0.0	0
732	1.3498555654544964e-05	1
734	1.3498555654544964e-05	1
739	0.0	0
751	2.699711130908993e-05	2
781	1.3498555654544964e-05	1
783	0.0	0
798	1.3498555654544964e-05	1
800	1.3498555654544964e-05	1
820	0.0	0
847	4.049566696363489e-05	3
849	0.0	0
861	1.3498555654544964e-05	1
864	1.3498555654544964e-05	1
866	0.0	0
891	5.399422261817986e-05	4
893	0.0	0
905	0.0	0
927	0.0	0
949	2.699711130908993e-05	2
983	0.005291433816581626	392
986	0.0	0
991	0.0	0
1018	1.3498555654544964e-05	1
1020	1.3498555654544964e-05	1
1023	0.00012148700089090467	9
1025	0.0	0
1030	1.3498555654544964e-05	1
1032	4.049566696363489e-05	3
1035	2.699711130908993e-05	2
1037	0.0	0
1052	0.0	0
1079	1.3498555654544964e-05	1
1081	0.0	0
1101	1.3498555654544964e-05	1
1103	0.0	0
1125	0.0	0
1155	0.0022947544612726438	170
1157	0.0	0
1164	1.3498555654544964e-05	1
1167	1.3498555654544964e-05	1
1169	0.0	0
1186	0.0	0
1191	0.0	0
1208	0.0	0
1230	0.0	0
1252	0.0	0
1257	0.0	0
1296	0.0	0
1308	0.0017548122350908454	130
1311	1.3498555654544964e-05	1
1313	1.3498555654544964e-05	1
1335	4.049566696363489e-05	3
1338	1.3498555654544964e-05	1
1340	1.3498555654544964e-05	1
1355	0.0	0
1360	1.3498555654544964e-05	1
1377	0.0	0
1387	4.049566696363489e-05	3
1389	0.0	0
1404	1.3498555654544964e-05	1
1406	0.0	0
1428	1.3498555654544964e-05	1
1431	2.699711130908993e-05	2
1433	0.0	0
1462	8.099133392726978e-05	6
1465	0.0	0
1470	1.3498555654544964e-05	1
1472	0.0	0
1489	2.699711130908993e-05	2
1492	2.699711130908993e-05	2
1509	0.0	0
1514	5.399422261817986e-05	4
1516	0.0	0
1531	0.0	0
1536	1.3498555654544964e-05	1
1538	0.0	0
1550	1.3498555654544964e-05	1
1553	0.0	0
1594	2.699711130908993e-05	2
1602	2.699711130908993e-05	2
1604	0.0	0
1616	0.0	0
1641	1.3498555654544964e-05	1
1643	1.3498555654544964e-05	1
1646	6.749277827272481e-05	5
1648	0.0	0
1660	1.3498555654544964e-05	1
1682	0.0	0
1707	1.3498555654544964e-05	1
1709	0.0	0
1721	5.399422261817986e-05	4
1724	0.0	0
1748	0.0	0
1765	4.049566696363489e-05	3
1770	0.0	0
1790	1.3498555654544964e-05	1
1792	0.0	0
1812	1.3498555654544964e-05	1
1814	0.0	0
1834	1.3498555654544964e-05	1
1836	0.0	0
1853	2.699711130908993e-05	2
1856	1.3498555654544964e-05	1
1858	0.0	0
1900	1.3498555654544964e-05	1
1902	0.0	0
1919	1.3498555654544964e-05	1
1941	2.699711130908993e-05	2
1944	1.3498555654544964e-05	1
1946	0.0	0
1966	1.3498555654544964e-05	1
1968	0.0	0
1985	2.699711130908993e-05	2
2010	2.699711130908993e-05	2
2012	0.0	0
2032	4.049566696363489e-05	3
2034	0.0	0
2054	6.749277827272481e-05	5
2056	0.0	0
2090	1.3498555654544964e-05	1
2093	1.3498555654544964e-05	1
2095	0.0	0
2112	1.3498555654544964e-05	1
2115	1.3498555654544964e-05	1
2117	0.0	0
2134	0.0	0
2156	0.0	0
2178	1.3498555654544964e-05	1
2247	1.3498555654544964e-05	1
2249	1.3498555654544964e-05	1
2252	5.399422261817986e-05	4
2254	0.0	0
2288	0.0	0
2327	1.3498555654544964e-05	1
2330	1.3498555654544964e-05	1
2332	0.0	0
2354	0.0	0
2371	1.3498555654544964e-05	1
2393	2.699711130908993e-05	2
2418	1.3498555654544964e-05	1
2420	0.0	0
2445	2.699711130908993e-05	2
2447	0.0	0
2462	1.3498555654544964e-05	1
2464	1.3498555654544964e-05	1
2481	2.699711130908993e-05	2
2484	2.699711130908993e-05	2
2486	0.0	0
2511	2.699711130908993e-05	2
2513	0.0	0
2525	1.3498555654544964e-05	1
2550	1.3498555654544964e-05	1
2552	0.0	0
2572	2.699711130908993e-05	2
2574	0.0	0
2581	0.008720066952836046	646
2584	0.0	0
2589	0.0	0
2613	2.699711130908993e-05	2
2616	1.3498555654544964e-05	1
2618	0.0	0
2628	1.3498555654544964e-05	1
2630	1.3498555654544964e-05	1
2633	1.3498555654544964e-05	1
2635	0.0	0
2650	0.0	0
2660	4.049566696363489e-05	3
2662	0.0	0
2674	1.3498555654544964e-05	1
2696	0.0	0
2721	1.3498555654544964e-05	1
2723	0.0	0
2748	1.3498555654544964e-05	1
2750	0.0	0
2762	2.699711130908993e-05	2
2787	1.3498555654544964e-05	1
2789	0.0	0
